Door,8,DAN 407,DAN 407,MEDIUM,2.1000000000000085,0.30000000000001137,true,0.5,0.25
Waypoint,2,Base,2.4000000000000057,4.800000000000011,2,9,4,0,true,LOW
Waypoint,3,Stairs 1,3.25,7.25,1,4,0,true,LOW
Waypoint,4,Waypoint451249,2.4000000000000057,7.3500000000000085,3,2,3,5,0,false
Waypoint,5,End of Hallway 2,2.3000000000000114,19.05000000000001,1,4,0,true,LOW
Waypoint,6,Waypoint461443,2.8500000000000085,-6.949999999999989,2,9,7,0,false
Waypoint,7,End of Hallway 2,3.3500000000000085,-15.899999999999991,1,6,0,true,LOW
Waypoint,9,Waypoint459389,2.5,0.30000000000001137,2,6,2,1,8,false
